tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0008371,The New Mission of Judex,La nouvelle mission de Judex,1917,374,Adventure,7.1,36
tt0064542,Spring,Kevade,1969,87,Drama,8.0,1641
tt0456287,Arena en los bolsillos,Arena en los bolsillos,2006,94,Drama,5.9,83
tt4719840,As Long As We Both Shall Live,Falling,2016,105,"Drama,Romance,Thriller",4.4,143
tt15419914,Committed to the Craft,Committed to the Craft,2022,\N,Documentary,9.9,15
tt0067914,The Boxer,Un uomo dalla pelle dura,1972,83,"Crime,Drama,Thriller",5.3,216
tt0183330,You or Me,Kalózok,1999,98,"Comedy,Musical,Romance",5.3,491
tt4003416,Easy. Vegan: Der Film über Veganismus,Easy. Vegan: Der Film über Veganismus,2009,45,Documentary,7.1,10
tt0040425,Hay lugar para... dos,Hay lugar para... dos,1949,118,Drama,6.6,19
tt12312102,Blunderpuss,Blunderpuss,2020,72,Comedy,6.6,35
tt5582566,Redemption Way,Redemption Way,2017,90,Drama,5.4,87
tt10148042,Oru Kai Paappom,Oru Kai Paappom,1983,\N,Drama,5.4,8
tt0765142,"If You Love Me, Follow Me",Qui m'aime me suive,2006,102,Comedy,6.1,247
tt7425374,Caraba,Caraba,2019,92,"Drama,Sci-Fi",5.8,16
tt16787020,Last Man Standing: The Chronicles of Myron Sugerman,Last Man Standing: The Chronicles of Myron Sugerman,2022,\N,"Crime,Documentary",8.4,6
tt0269356,Ice Planet,Ice Planet,2001,83,"Action,Adventure,Sci-Fi",3.9,1097
tt0269079,Chelleli Kapuram,Chelleli Kapuram,1971,167,"Drama,Musical",7.7,18
tt5920072,Tomthin Shija (It's about My Mom & Me),Tomthin Shija (It's about My Mom & Me),2016,\N,Drama,7.1,10
tt6648002,Luurankoluola,Luurankoluola,2017,64,"Horror,Mystery,Thriller",4.1,21
tt10453318,Punk Never Ends!,Punk je hned!,2019,70,Drama,6.8,43
tt1187026,Him,Him,1974,\N,Adult,5.6,36
tt4356104,Mellow Mud,Es esmu seit,2016,106,Drama,7.3,908
tt0101487,Blue Fire,Blue Fire,1991,75,Adult,5.4,133
tt0314259,El karateca azteca,El karateca azteca,1976,90,"Action,Comedy,Family",4.8,36
tt0114658,Theodore Rex,Theodore Rex,1995,92,"Action,Comedy,Family",2.4,5052
tt0032172,È sbarcato un marinaio,È sbarcato un marinaio,1940,74,Comedy,3.8,18
tt10017460,Egise Taara Juvvalu,Egise Taara Juvvalu,2017,95,Drama,4.3,22
tt15196704,Glimpse,Glimpse,2022,74,Thriller,4.7,40
tt0040908,Tuya para siempre,Tuya para siempre,1949,79,"Drama,Romance",6.8,9
tt0886469,"Comfort the Disturbed, Disturb the Comforted","Comfort the Disturbed, Disturb the Comforted",2006,76,Drama,8.3,356
tt0284616,Velké prání,Velké prání,1981,88,Drama,2.9,12
tt0265670,El ruiseñor del barrio,El ruiseñor del barrio,1952,100,"Drama,Musical",5.5,7
tt7111402,Oxidan,Oksidan,2017,93,"Comedy,Drama,Romance",5.2,2135
tt1242464,Ich bin 3 Kirschkuchen!,Ich bin 3 Kirschkuchen!,2008,75,Animation,7.4,13
tt5859132,The Reunion,The Reunion,2017,76,"Drama,Mystery,Thriller",4.8,199
tt12529866,A Mulher da Luz Própria,A Mulher da Luz Própria,2019,74,"Biography,Documentary",6.9,21
tt4552534,As Far as the Eye Can See,As Far as the Eye Can See,2016,88,"Drama,Music",5.6,146
tt34542643,Vebal,Vebal,2024,\N,Horror,4.6,14
tt32380491,Keith Robinson: Different Strokes,Keith Robinson: Different Strokes,2024,53,"Comedy,Documentary",6.4,200
tt0172222,Cazul D,Cazul D,1966,\N,Documentary,8.8,5
tt13735320,Navodaya Dayzz,Navodaya Dayzz,2018,119,Drama,9.3,23
tt1130876,Lass uns 'n Wunder sein. Auf der Suche nach Rio Reiser,Lass uns 'n Wunder sein. Auf der Suche nach Rio Reiser,2008,90,Documentary,7.4,23
tt14219496,"Sex, Hood, Skate, and Videotape","Sex, Hood, Skate, and Videotape",2006,52,Documentary,6.3,16
tt0404749,Ah bu dünya,Ah bu dünya,1965,73,"Drama,Romance",5.2,34
tt8962742,Battle for Warsaw,Battle for Warsaw,1978,48,"Documentary,History,War",6.8,22
tt0202485,Model Husband,Der Mustergatte,1959,97,Comedy,7.1,14
tt0019824,The Divine Lady,The Divine Lady,1928,99,"Drama,History,Romance",6.1,1020
tt0025968,Die Welt ohne Maske,Die Welt ohne Maske,1934,111,"Comedy,Sci-Fi",6.2,23
tt0216251,Svart hav,Svart hav,1980,106,"Drama,Sci-Fi",6.5,39
tt2929890,In the Name of My Daughter,L'homme qu'on aimait trop,2014,116,"Crime,Drama",6.1,1970
tt11056380,All the Women I Know,All the Women I Know,2018,71,Documentary,5.7,9
tt0031388,The Governor,Der Gouverneur,1939,99,Drama,3.2,37
tt2805168,Je te survivrai,Je te survivrai,2014,91,Comedy,5.8,333
tt0214922,Marakkillorikkalum,Marakkillorikkalum,1983,\N,"Drama,Romance,Thriller",4.6,23
tt0897414,Crveno i crno,Crveno i crno,2006,70,Drama,8.2,39
tt31383603,Dark Justice,Dark Justice,2024,95,Drama,7.4,51
tt10092362,Pastor's Wife,Pastor's Wife,2022,\N,Drama,8.8,7
tt21100124,Stay on Board: The Leo Baker Story,Stay on Board: The Leo Baker Story,2022,72,"Documentary,Sport",6.8,487
tt0063535,Voyage of Silence,O Salto,1967,88,Drama,7.1,28
tt5117308,Glow,Glow,2017,130,Drama,7.6,19
tt0304117,Génération oxygène,Génération oxygène,1991,90,Comedy,4.7,12
tt0021737,Chyornaya kozha,Chyornaya kozha,1930,\N,Drama,6.1,20
tt0186240,The Invisibles,The Invisibles,1999,86,"Comedy,Drama",5.4,238
tt35402446,Akaal: The Unconquered,Akaal: The Unconquered,2025,140,"Action,Drama,History",6.6,329
tt8108210,Hyderabad Love Story,Hyderabad Love Story,2018,134,Romance,7.3,18
tt0123868,Round the Moons Between Earth and Sea,Giro di lune tra terra e mare,1997,101,Drama,7.8,103
tt33087785,Scan Doll,Scan Doll,1996,81,Horror,7.2,8
tt0778670,Total Debauchery,Devassidão Total,1986,75,Adult,4.3,40
tt0196983,Heroes Dream,El sueño de los héroes,1996,120,Drama,6.6,161
tt0082678,Looks and Smiles,Looks and Smiles,1981,104,Drama,6.9,529
tt0327582,The Cloud of Unknowing,The Cloud of Unknowing,2002,84,Drama,8.9,23
tt2217802,Sadistic Eroticism,Sadistic Eroticism,2012,\N,"Comedy,Drama,Horror",6.3,105
tt4875184,Water,Water,2017,\N,Drama,9.6,10
tt0067445,Death in Venice,Morte a Venezia,1971,130,"Drama,Romance",7.3,24261
tt0084146,The Intruder,A Intrusa,1979,100,Drama,6.5,181
tt0108001,Rudaali,Rudaali,1993,128,Drama,7.4,611
tt6808782,Playtime,Playtime,2013,70,Drama,5.8,47
tt3948208,Double DI Trouble,Double DI Trouble,2014,108,Comedy,6.1,329
tt0093773,Predator,Predator,1987,107,"Action,Adventure,Horror",7.8,485834
tt15548146,April Showers,April Showers,2021,134,"Drama,Romance",6.4,32
tt1400502,Egression,Egression,2011,100,Drama,8.9,114
tt0262329,Cheque,Chek,2000,110,"Action,Adventure,Crime",4.5,50
tt0055960,Er kanns nicht lassen,Er kanns nicht lassen,1962,94,"Comedy,Crime",6.6,595
tt14697242,Glastonbury Festival: Live at Worthy Farm,Glastonbury Festival: Live at Worthy Farm,2021,\N,Music,7.1,21
tt0953981,Always: Sunset on Third Street 2,Always zoku san-chôme no yûhi,2007,146,"Comedy,Drama,Family",7.5,1181
tt0174665,Fratello mare,Fratello mare,1975,81,Documentary,6.2,10
tt9100838,Mother's Little Helpers,Mother's Little Helpers,2019,99,"Comedy,Drama,Family",5.3,265
tt0043870,O.K. Nero,O.K. Nerone,1951,105,Comedy,6.6,105
